"uf","sexo","idade","cor_raca","numero_trabalhos","ocupacao","posicao","ativi_principal","empressa_com_CNPJ","servidor_publico","carteira","hrs_trab_princ","anos_estudo","posicao_ocupacao","grupo_atividade","grupo_ocupacao","rendimento_mensal"
12,1,14,5,1,6111,7,1108,2,NA,NA,12,1,10,1,6,NA
12,1,13,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
12,1,15,4,1,6111,7,1108,2,NA,NA,16,4,10,1,6,NA
12,1,32,4,1,6111,6,1108,2,NA,NA,54,3,9,1,6,150
12,2,28,4,1,6111,6,1108,2,NA,NA,10,0,9,1,6,100
12,1,11,4,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
12,2,8,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
12,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,24,4,1,7112,6,1401,2,NA,NA,44,11,9,1,7,500
12,2,19,2,1,9211,7,1401,2,NA,NA,40,8,10,1,9,NA
12,2,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,2,36,2,1,6111,6,1108,2,NA,NA,40,0,9,1,6,200
12,1,49,4,1,6111,6,1108,2,NA,NA,48,0,9,1,6,100
12,2,30,4,1,6111,7,1108,2,NA,NA,48,0,10,1,6,NA
12,1,16,4,1,6111,7,1108,2,NA,NA,40,9,10,1,6,NA
12,2,15,4,1,6111,7,1108,2,NA,NA,20,9,10,1,6,NA
12,2,27,4,1,6111,6,1108,2,NA,NA,48,2,9,1,6,150
12,1,30,4,1,6111,7,1108,2,NA,NA,40,0,10,1,6,NA
12,2,7,4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
12,1,17,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
12,2,31,4,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
12,1,11,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
12,2,6,4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
12,1,5,4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
12,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,26,2,1,3341,3,48030,1,NA,1,48,11,1,4,3,1200
12,2,27,4,1,5223,3,48030,1,NA,1,40,10,1,4,5,671
12,1,6,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
12,1,5,4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
12,1,44,1,1,9212,3,1401,1,NA,1,44,8,1,1,9,622
12,2,36,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
12,1,17,4,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA
12,1,16,4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
12,1,14,4,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA
12,1,14,4,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA
12,1,12,4,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
12,1,11,4,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
12,1,25,4,1,9122,3,45020,1,NA,2,8,8,2,4,9,700
12,1,7,4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
12,1,53,4,1,7112,6,41000,2,NA,NA,24,8,9,3,7,1200
12,2,42,4,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
12,2,16,4,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA
12,1,42,2,1,5223,6,48010,1,NA,NA,72,0,9,4,5,500
12,1,69,5,1,8350,6,50000,2,NA,NA,84,0,9,5,8,622
12,2,59,4,1,3221,4,86001,NA,NA,1,48,14,5,9,3,2500
12,1,19,4,1,7231,3,45020,1,NA,2,52,8,2,4,7,700
12,2,12,4,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
12,1,33,4,1,9520,6,48100,1,NA,NA,48,11,9,4,9,2000
12,2,40,4,1,9412,3,91000,1,NA,2,20,8,2,10,9,700
12,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
12,2,56,4,1,9111,1,97000,NA,NA,2,16,4,4,11,9,350
12,1,24,4,1,9313,6,41000,2,NA,NA,40,8,9,3,9,622
