"uf","sexo","idade","cor_raca","numero_trabalhos","ocupacao","posicao","ativi_principal","empressa_com_CNPJ","servidor_publico","carteira","hrs_trab_princ","anos_estudo","posicao_ocupacao","grupo_atividade","grupo_ocupacao","rendimento_mensal"
12,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
12,2,55,4,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA
12,1,27,4,1,5414,3,48080,1,NA,1,48,0,1,4,5,750
12,1,9,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
12,1,34,2,1,1420,5,48079,1,NA,NA,60,8,8,4,1,3000
12,2,36,4,1,5223,7,48079,1,NA,NA,40,7,10,4,5,NA
12,2,9,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
12,1,46,1,1,7112,3,71000,1,NA,1,40,4,1,7,7,733
12,2,32,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
12,1,17,4,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA
12,1,15,4,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA
12,2,11,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
12,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,2,68,4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
12,1,65,2,1,9112,4,42000,NA,2,1,25,0,5,3,9,622
12,1,64,1,1,7511,6,48030,2,NA,NA,70,0,9,4,7,622
12,2,58,4,2,9112,7,48030,2,NA,NA,42,3,10,4,9,NA
12,1,41,1,1,412,2,84016,NA,NA,NA,36,13,7,8,10,2000
12,1,30,1,1,5412,4,84016,NA,1,NA,50,14,7,8,5,2000
12,2,61,1,1,9111,1,97000,NA,NA,2,10,10,4,11,9,400
12,1,45,4,1,8332,3,48030,1,NA,1,44,9,1,4,8,622
12,2,34,4,1,9111,1,97000,NA,NA,2,35,1,4,11,9,450
12,1,18,4,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA
12,1,17,4,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA
12,1,16,4,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA
12,1,32,4,1,1420,6,48030,1,NA,NA,48,11,9,4,1,1800
