"uf","sexo","idade","cor_raca","numero_trabalhos","ocupacao","posicao","ativi_principal","empressa_com_CNPJ","servidor_publico","carteira","hrs_trab_princ","anos_estudo","posicao_ocupacao","grupo_atividade","grupo_ocupacao","rendimento_mensal"
12,1,27,4,1,5312,4,85012,NA,NA,2,20,11,6,9,5,950
12,2,23,4,1,9412,4,85012,NA,1,NA,20,11,7,9,9,950
12,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,6,4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
12,2,46,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
12,1,31,4,1,6111,6,1108,2,NA,NA,40,2,9,1,6,100
12,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,9,4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
12,1,31,4,1,9313,3,41000,NA,NA,2,44,8,2,3,9,960
12,2,26,4,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA
12,2,7,4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
12,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,38,1,1,9211,3,1201,NA,NA,2,40,4,2,1,9,50
12,2,32,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
12,2,14,1,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA
12,1,10,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
12,1,8,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
12,2,5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
12,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,2,33,1,1,9111,1,97000,NA,NA,2,15,8,4,11,9,450
12,1,37,1,1,7314,3,23091,NA,NA,1,48,11,1,2,7,934
12,2,13,1,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA
12,1,15,1,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA
12,1,56,1,1,6111,6,1116,2,NA,NA,44,4,9,1,6,150
12,2,44,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
12,1,24,1,1,6111,7,1116,NA,NA,NA,44,11,10,1,6,NA
12,2,17,1,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA
